Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;30/12/2024;18:20:00;121.715;121.725;121.575;121.620;589.369.017,00;24.228
WINFUT;30/12/2024;18:00:00;121.655;121.735;121.510;121.715;3.399.389.901,00;139.785
WINFUT;30/12/2024;17:40:00;121.710;121.795;121.565;121.660;5.158.601.183,00;211.942
WINFUT;30/12/2024;17:20:00;121.770;121.995;121.625;121.710;7.141.859.338,00;293.169
WINFUT;30/12/2024;17:00:00;121.695;121.775;121.660;121.770;4.176.071.287,00;171.544
WINFUT;30/12/2024;16:40:00;121.630;121.710;121.535;121.690;5.163.096.391,00;212.235
WINFUT;30/12/2024;16:20:00;121.670;121.725;121.595;121.635;3.874.915.004,00;159.275
WINFUT;30/12/2024;16:00:00;121.640;121.735;121.565;121.670;5.404.460.776,00;222.145
WINFUT;30/12/2024;15:40:00;121.560;121.725;121.560;121.645;5.246.065.827,00;215.635
WINFUT;30/12/2024;15:20:00;121.560;121.630;121.530;121.565;3.926.177.600,00;161.465
WINFUT;30/12/2024;15:00:00;121.570;121.635;121.505;121.560;4.198.921.874,00;172.694
WINFUT;30/12/2024;14:40:00;121.475;121.650;121.430;121.570;6.764.319.903,00;278.267
WINFUT;30/12/2024;14:20:00;121.555;121.640;121.455;121.470;5.858.166.763,00;241.007
WINFUT;30/12/2024;14:00:00;121.480;121.625;121.435;121.555;9.240.876.941,00;380.203
WINFUT;30/12/2024;13:40:00;121.570;121.715;121.410;121.480;10.967.786.849,00;451.122
WINFUT;30/12/2024;13:20:00;121.530;121.735;121.505;121.570;7.343.468.140,00;301.914
WINFUT;30/12/2024;13:00:00;121.665;121.795;121.445;121.525;11.099.262.330,00;456.312
WINFUT;30/12/2024;12:40:00;121.790;121.820;121.600;121.660;7.842.936.630,00;322.186
WINFUT;30/12/2024;12:20:00;121.990;122.150;121.690;121.785;13.019.175.741,00;533.793
WINFUT;30/12/2024;12:00:00;121.765;121.995;121.740;121.990;9.353.339.315,00;383.757
WINFUT;30/12/2024;11:40:00;121.865;121.940;121.720;121.770;9.972.583.405,00;409.249
WINFUT;30/12/2024;11:20:00;121.980;122.065;121.810;121.860;11.563.548.428,00;474.139
WINFUT;30/12/2024;11:00:00;122.035;122.240;121.905;121.985;11.786.442.228,00;482.773
WINFUT;30/12/2024;10:40:00;122.305;122.410;121.965;122.040;16.175.869.149,00;662.210
WINFUT;30/12/2024;10:20:00;121.765;122.365;121.685;122.305;18.386.266.262,00;753.155
WINFUT;30/12/2024;10:00:00;121.855;121.965;121.705;121.765;15.668.055.369,00;643.069
WINFUT;30/12/2024;09:40:00;121.750;121.910;121.660;121.850;12.112.467.907,00;497.254
WINFUT;30/12/2024;09:20:00;121.690;121.920;121.655;121.750;9.182.904.827,00;376.966
WINFUT;30/12/2024;09:00:00;121.505;121.785;121.445;121.695;13.128.799.288,00;539.704
WINFUT;27/12/2024;18:20:00;121.560;121.710;121.525;121.535;1.224.052.275,00;50.326
WINFUT;27/12/2024;18:00:00;121.440;121.585;121.305;121.560;4.527.392.507,00;186.433
WINFUT;27/12/2024;17:40:00;121.500;121.635;121.355;121.440;7.210.937.883,00;296.737
WINFUT;27/12/2024;17:20:00;121.620;121.755;121.480;121.500;6.209.294.561,00;255.232
WINFUT;27/12/2024;17:00:00;121.550;121.685;121.540;121.625;6.270.237.491,00;257.790
WINFUT;27/12/2024;16:40:00;121.560;121.570;121.455;121.555;5.156.830.490,00;212.181
WINFUT;27/12/2024;16:20:00;121.640;121.690;121.550;121.555;5.076.472.752,00;208.723
WINFUT;27/12/2024;16:00:00;121.620;121.665;121.505;121.640;6.745.185.263,00;277.415
WINFUT;27/12/2024;15:40:00;121.720;121.765;121.585;121.625;6.394.630.427,00;262.760
WINFUT;27/12/2024;15:20:00;121.890;121.910;121.675;121.715;7.687.074.451,00;315.599
WINFUT;27/12/2024;15:00:00;121.915;122.030;121.845;121.895;7.174.932.971,00;294.196
WINFUT;27/12/2024;14:40:00;121.800;121.975;121.740;121.920;7.283.539.562,00;298.838
WINFUT;27/12/2024;14:20:00;121.820;121.930;121.760;121.805;6.412.882.987,00;263.171
WINFUT;27/12/2024;14:00:00;121.965;122.000;121.810;121.820;6.087.697.475,00;249.628
WINFUT;27/12/2024;13:40:00;122.080;122.230;121.865;121.960;8.749.679.197,00;358.437
WINFUT;27/12/2024;13:20:00;122.095;122.205;122.025;122.080;5.622.145.065,00;230.227
WINFUT;27/12/2024;13:00:00;122.105;122.135;122.000;122.090;5.102.062.764,00;209.001
WINFUT;27/12/2024;12:40:00;122.315;122.360;122.030;122.100;9.396.722.678,00;384.548
WINFUT;27/12/2024;12:20:00;121.985;122.330;121.935;122.320;11.312.439.324,00;463.243
WINFUT;27/12/2024;12:00:00;122.330;122.330;121.950;121.985;13.016.369.983,00;532.859
WINFUT;27/12/2024;11:40:00;122.485;122.665;122.300;122.325;12.615.596.408,00;514.893
WINFUT;27/12/2024;11:20:00;122.205;122.515;122.065;122.490;13.498.195.709,00;551.961
WINFUT;27/12/2024;11:00:00;122.070;122.305;122.065;122.205;11.280.600.243,00;461.610
WINFUT;27/12/2024;10:40:00;122.585;122.665;122.025;122.075;18.106.351.472,00;740.390
WINFUT;27/12/2024;10:20:00;122.660;122.835;122.560;122.585;13.104.583.311,00;534.051
WINFUT;27/12/2024;10:00:00;122.975;123.075;122.550;122.660;17.834.364.772,00;725.821
