Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;16/05/2025;18:15:00;140.455;140.480;140.250;140.325;1.710.079.043,00;60.907
WINFUT;16/05/2025;18:00:00;140.465;140.500;140.450;140.450;1.143.437.713,00;40.699
WINFUT;16/05/2025;17:45:00;140.500;140.520;140.410;140.470;2.551.571.569,00;90.829
WINFUT;16/05/2025;17:30:00;140.525;140.605;140.465;140.500;2.609.904.164,00;92.858
WINFUT;16/05/2025;17:15:00;140.695;140.730;140.510;140.530;4.550.963.055,00;161.834
WINFUT;16/05/2025;17:00:00;140.700;140.735;140.625;140.700;3.596.593.168,00;127.824
WINFUT;16/05/2025;16:45:00;140.560;140.740;140.515;140.705;6.311.838.194,00;224.419
WINFUT;16/05/2025;16:30:00;140.545;140.640;140.490;140.560;6.555.853.202,00;233.191
WINFUT;16/05/2025;16:15:00;140.650;140.660;140.515;140.550;5.947.779.270,00;211.535
WINFUT;16/05/2025;16:00:00;140.700;140.815;140.615;140.655;6.558.708.487,00;233.042
WINFUT;16/05/2025;15:45:00;140.620;140.850;140.615;140.700;8.148.778.171,00;289.525
WINFUT;16/05/2025;15:30:00;140.445;140.695;140.415;140.620;7.785.159.814,00;276.946
WINFUT;16/05/2025;15:15:00;140.440;140.515;140.390;140.445;5.433.981.188,00;193.446
WINFUT;16/05/2025;15:00:00;140.380;140.570;140.350;140.445;7.390.085.977,00;263.071
WINFUT;16/05/2025;14:45:00;140.565;140.575;140.245;140.375;8.630.884.718,00;307.429
WINFUT;16/05/2025;14:30:00;140.460;140.595;140.340;140.565;7.125.490.468,00;253.665
WINFUT;16/05/2025;14:15:00;140.320;140.485;140.305;140.465;7.259.887.304,00;258.519
WINFUT;16/05/2025;14:00:00;140.165;140.335;140.130;140.315;7.505.546.504,00;267.601
WINFUT;16/05/2025;13:45:00;140.235;140.275;140.155;140.165;3.956.854.666,00;141.100
WINFUT;16/05/2025;13:30:00;139.995;140.360;139.985;140.235;12.514.217.132,00;446.236
WINFUT;16/05/2025;13:15:00;140.030;140.070;139.870;139.995;7.022.620.984,00;250.829
WINFUT;16/05/2025;13:00:00;139.820;140.130;139.790;140.025;7.542.132.227,00;269.462
WINFUT;16/05/2025;12:45:00;139.820;139.975;139.785;139.825;6.473.456.735,00;231.405
WINFUT;16/05/2025;12:30:00;139.740;139.995;139.655;139.820;9.835.781.088,00;351.691
WINFUT;16/05/2025;12:15:00;139.485;139.770;139.420;139.740;8.008.760.949,00;286.859
WINFUT;16/05/2025;12:00:00;139.395;139.555;139.285;139.485;8.421.144.237,00;302.039
WINFUT;16/05/2025;11:45:00;139.250;139.535;139.230;139.400;9.401.645.556,00;337.168
WINFUT;16/05/2025;11:30:00;139.360;139.495;139.120;139.250;13.478.221.294,00;483.593
WINFUT;16/05/2025;11:15:00;139.590;139.720;139.360;139.360;15.951.234.255,00;571.502
WINFUT;16/05/2025;11:00:00;139.905;139.920;139.520;139.590;18.234.162.331,00;652.456
WINFUT;16/05/2025;10:45:00;139.335;140.000;139.180;139.905;23.671.449.257,00;847.971
WINFUT;16/05/2025;10:30:00;139.450;139.685;139.215;139.335;22.283.135.520,00;799.116
WINFUT;16/05/2025;10:15:00;139.595;139.610;139.310;139.445;16.852.576.476,00;604.275
WINFUT;16/05/2025;10:00:00;139.520;139.645;139.250;139.595;20.024.008.643,00;717.932
WINFUT;16/05/2025;09:45:00;139.530;139.580;139.330;139.525;12.880.244.719,00;461.792
WINFUT;16/05/2025;09:30:00;139.720;139.800;139.455;139.530;16.016.793.446,00;573.626
WINFUT;16/05/2025;09:15:00;139.990;140.010;139.570;139.720;20.059.682.805,00;717.492
WINFUT;16/05/2025;09:00:00;140.770;140.790;139.965;139.990;17.474.688.779,00;622.750
WINFUT;15/05/2025;18:15:00;140.975;141.075;140.955;141.075;963.861.205,00;34.178
WINFUT;15/05/2025;18:00:00;141.045;141.090;140.930;140.975;1.734.577.737,00;61.508
WINFUT;15/05/2025;17:45:00;141.000;141.110;140.935;141.045;2.349.286.497,00;83.292
WINFUT;15/05/2025;17:30:00;141.015;141.040;140.930;141.000;2.978.877.534,00;105.642
WINFUT;15/05/2025;17:15:00;141.115;141.125;141.005;141.020;2.972.290.324,00;105.351
WINFUT;15/05/2025;17:00:00;141.105;141.170;140.975;141.115;4.891.388.828,00;173.381
WINFUT;15/05/2025;16:45:00;140.905;141.140;140.900;141.105;7.844.574.910,00;278.130
WINFUT;15/05/2025;16:30:00;140.755;140.985;140.740;140.905;7.405.174.453,00;262.796
WINFUT;15/05/2025;16:15:00;140.805;140.835;140.625;140.750;6.445.670.860,00;229.011
WINFUT;15/05/2025;16:00:00;140.630;140.815;140.575;140.800;6.783.494.868,00;241.054
WINFUT;15/05/2025;15:45:00;140.510;140.665;140.405;140.625;6.980.703.189,00;248.332
WINFUT;15/05/2025;15:30:00;140.260;140.565;140.230;140.510;7.146.588.214,00;254.530
WINFUT;15/05/2025;15:15:00;140.310;140.430;140.165;140.260;9.346.384.517,00;333.116
