Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;28/12/2023;18:15:00;135.855;135.935;135.830;135.850;1.588.472.066,00;58.458
WINFUT;28/12/2023;18:00:00;135.795;135.880;135.725;135.850;3.520.213.939,00;129.612
WINFUT;28/12/2023;17:45:00;135.855;135.910;135.775;135.795;4.350.075.596,00;160.112
WINFUT;28/12/2023;17:30:00;135.725;135.870;135.710;135.850;4.509.936.054,00;166.048
WINFUT;28/12/2023;17:15:00;135.675;135.795;135.640;135.725;4.752.146.438,00;175.046
WINFUT;28/12/2023;17:00:00;135.790;135.805;135.625;135.675;5.905.006.236,00;217.557
WINFUT;28/12/2023;16:45:00;135.780;135.835;135.725;135.795;4.763.679.255,00;175.412
WINFUT;28/12/2023;16:30:00;135.830;135.885;135.765;135.780;5.084.731.856,00;187.187
WINFUT;28/12/2023;16:15:00;135.850;135.870;135.805;135.825;4.540.308.281,00;167.127
WINFUT;28/12/2023;16:00:00;135.895;135.960;135.840;135.855;5.935.730.585,00;218.399
WINFUT;28/12/2023;15:45:00;135.915;135.985;135.875;135.900;5.891.530.493,00;216.697
WINFUT;28/12/2023;15:30:00;135.945;136.005;135.875;135.915;7.033.687.249,00;258.702
WINFUT;28/12/2023;15:15:00;135.855;135.965;135.840;135.945;6.015.598.317,00;221.313
WINFUT;28/12/2023;15:00:00;135.855;135.905;135.645;135.850;11.680.443.279,00;430.192
WINFUT;28/12/2023;14:45:00;135.855;135.870;135.720;135.855;6.649.169.889,00;244.833
WINFUT;28/12/2023;14:30:00;135.755;135.885;135.740;135.850;5.598.962.556,00;206.097
WINFUT;28/12/2023;14:15:00;135.850;135.945;135.750;135.760;7.636.091.080,00;281.067
WINFUT;28/12/2023;14:00:00;135.795;135.895;135.790;135.850;6.001.209.710,00;220.873
WINFUT;28/12/2023;13:45:00;135.845;135.895;135.775;135.800;5.402.330.971,00;198.868
WINFUT;28/12/2023;13:30:00;135.900;135.930;135.835;135.850;4.454.806.897,00;163.931
WINFUT;28/12/2023;13:15:00;135.965;135.995;135.845;135.905;7.718.478.840,00;283.933
WINFUT;28/12/2023;13:00:00;136.055;136.085;135.955;135.960;6.332.481.079,00;232.774
WINFUT;28/12/2023;12:45:00;135.915;136.085;135.875;136.060;9.628.266.150,00;354.001
WINFUT;28/12/2023;12:30:00;135.920;135.945;135.820;135.920;6.630.839.909,00;243.998
WINFUT;28/12/2023;12:15:00;135.835;135.935;135.780;135.915;7.921.679.888,00;291.551
WINFUT;28/12/2023;12:00:00;135.690;135.855;135.615;135.830;8.520.817.391,00;313.889
WINFUT;28/12/2023;11:45:00;135.580;135.745;135.550;135.695;9.465.519.927,00;348.862
WINFUT;28/12/2023;11:30:00;135.670;135.775;135.455;135.580;17.948.136.569,00;661.670
WINFUT;28/12/2023;11:15:00;135.665;135.830;135.630;135.670;8.763.771.956,00;322.856
WINFUT;28/12/2023;11:00:00;135.620;135.785;135.620;135.670;9.570.638.050,00;352.651
WINFUT;28/12/2023;10:45:00;135.530;135.665;135.490;135.615;9.841.874.654,00;362.920
WINFUT;28/12/2023;10:30:00;135.700;135.755;135.530;135.530;13.072.612.921,00;481.908
WINFUT;28/12/2023;10:15:00;135.740;135.895;135.690;135.700;12.124.675.711,00;446.440
WINFUT;28/12/2023;10:00:00;135.555;135.750;135.525;135.740;9.343.609.448,00;344.473
WINFUT;28/12/2023;09:45:00;135.490;135.590;135.475;135.555;4.218.422.600,00;155.605
WINFUT;28/12/2023;09:30:00;135.460;135.535;135.430;135.495;5.837.319.219,00;215.425
WINFUT;28/12/2023;09:15:00;135.680;135.780;135.425;135.460;9.458.520.582,00;348.704
WINFUT;28/12/2023;09:00:00;135.780;135.960;135.640;135.685;11.089.296.542,00;408.417
WINFUT;27/12/2023;18:15:00;135.980;136.100;135.975;136.070;2.634.985.981,00;96.852
WINFUT;27/12/2023;18:00:00;135.935;135.995;135.915;135.975;2.917.445.506,00;107.292
WINFUT;27/12/2023;17:45:00;135.820;135.955;135.790;135.930;4.920.487.844,00;181.079
WINFUT;27/12/2023;17:30:00;135.820;135.885;135.800;135.815;4.486.964.007,00;165.150
WINFUT;27/12/2023;17:15:00;135.785;135.850;135.770;135.820;4.800.668.209,00;176.736
WINFUT;27/12/2023;17:00:00;135.680;135.820;135.640;135.790;5.695.186.056,00;209.789
WINFUT;27/12/2023;16:45:00;135.755;135.780;135.610;135.680;6.756.049.380,00;248.957
WINFUT;27/12/2023;16:30:00;135.770;135.795;135.725;135.760;4.726.874.357,00;174.099
WINFUT;27/12/2023;16:15:00;135.645;135.795;135.615;135.770;8.289.243.560,00;305.374
WINFUT;27/12/2023;16:00:00;135.630;135.675;135.530;135.645;11.870.413.134,00;437.699
WINFUT;27/12/2023;15:45:00;135.685;135.730;135.620;135.630;6.614.080.282,00;243.721
WINFUT;27/12/2023;15:30:00;135.670;135.695;135.635;135.680;5.628.902.920,00;207.456
WINFUT;27/12/2023;15:15:00;135.880;135.890;135.660;135.670;9.497.171.547,00;349.787
WINFUT;27/12/2023;15:00:00;135.760;135.900;135.755;135.880;8.959.250.702,00;329.741
WINFUT;27/12/2023;14:45:00;135.755;135.805;135.740;135.760;4.019.476.231,00;148.023
WINFUT;27/12/2023;14:30:00;135.780;135.810;135.725;135.760;4.780.058.939,00;176.030
WINFUT;27/12/2023;14:15:00;135.790;135.815;135.745;135.785;4.372.561.330,00;161.015
WINFUT;27/12/2023;14:00:00;135.820;135.865;135.770;135.790;4.495.206.877,00;165.487
WINFUT;27/12/2023;13:45:00;135.905;135.935;135.755;135.820;6.831.932.554,00;251.483
WINFUT;27/12/2023;13:30:00;135.800;135.940;135.790;135.905;6.458.900.279,00;237.677
WINFUT;27/12/2023;13:15:00;135.775;135.840;135.770;135.800;4.144.036.862,00;152.569
WINFUT;27/12/2023;13:00:00;135.825;135.835;135.755;135.775;4.462.816.399,00;164.330
WINFUT;27/12/2023;12:45:00;135.770;135.850;135.745;135.825;5.925.003.533,00;218.141
WINFUT;27/12/2023;12:30:00;135.745;135.800;135.700;135.770;7.335.035.182,00;270.170
WINFUT;27/12/2023;12:15:00;135.550;135.770;135.530;135.745;10.911.703.836,00;402.151
WINFUT;27/12/2023;12:00:00;135.425;135.625;135.415;135.550;10.958.829.645,00;404.262
WINFUT;27/12/2023;11:45:00;135.315;135.550;135.295;135.430;12.194.598.874,00;450.128
WINFUT;27/12/2023;11:30:00;135.270;135.395;135.205;135.315;13.879.593.971,00;512.945
WINFUT;27/12/2023;11:15:00;135.465;135.520;135.265;135.275;12.711.510.129,00;469.412
WINFUT;27/12/2023;11:00:00;135.295;135.495;135.185;135.460;14.752.559.284,00;545.059
WINFUT;27/12/2023;10:45:00;135.265;135.360;135.230;135.295;9.368.551.044,00;346.197
WINFUT;27/12/2023;10:30:00;135.175;135.280;135.130;135.270;8.701.212.644,00;321.757
WINFUT;27/12/2023;10:15:00;135.195;135.235;135.115;135.175;7.253.236.650,00;268.275
WINFUT;27/12/2023;10:00:00;135.145;135.225;135.070;135.195;12.709.856.170,00;470.254
WINFUT;27/12/2023;09:45:00;135.240;135.245;135.120;135.145;7.071.403.872,00;261.571
WINFUT;27/12/2023;09:30:00;135.345;135.355;135.235;135.240;5.296.395.751,00;195.736
WINFUT;27/12/2023;09:15:00;135.365;135.415;135.305;135.345;5.792.060.894,00;213.956
WINFUT;27/12/2023;09:00:00;135.400;135.655;135.360;135.365;11.324.219.363,00;417.854
WINFUT;26/12/2023;18:15:00;135.415;135.550;135.405;135.480;3.013.257.245,00;111.201
WINFUT;26/12/2023;18:00:00;135.395;135.435;135.355;135.415;2.476.157.252,00;91.447
WINFUT;26/12/2023;17:45:00;135.390;135.415;135.330;135.390;3.878.055.006,00;143.230
WINFUT;26/12/2023;17:30:00;135.415;135.435;135.340;135.395;4.495.532.279,00;166.026
WINFUT;26/12/2023;17:15:00;135.360;135.430;135.300;135.410;5.202.755.329,00;192.177
WINFUT;26/12/2023;17:00:00;135.295;135.380;135.205;135.365;6.779.854.481,00;250.555
WINFUT;26/12/2023;16:45:00;135.210;135.325;135.185;135.295;5.704.904.977,00;210.885
WINFUT;26/12/2023;16:30:00;135.130;135.220;135.120;135.210;5.893.128.075,00;217.985
WINFUT;26/12/2023;16:15:00;135.295;135.320;135.130;135.135;6.738.879.287,00;249.193
WINFUT;26/12/2023;16:00:00;135.235;135.340;135.215;135.295;5.050.055.313,00;186.635
WINFUT;26/12/2023;15:45:00;135.320;135.345;135.210;135.240;4.167.586.474,00;154.041
WINFUT;26/12/2023;15:30:00;135.295;135.355;135.275;135.325;4.015.106.058,00;148.359
WINFUT;26/12/2023;15:15:00;135.305;135.335;135.220;135.295;6.531.214.866,00;241.408
WINFUT;26/12/2023;15:00:00;135.260;135.380;135.260;135.300;5.803.872.097,00;214.431
WINFUT;26/12/2023;14:45:00;135.395;135.405;135.245;135.260;5.282.114.224,00;195.169
WINFUT;26/12/2023;14:30:00;135.400;135.420;135.340;135.395;4.087.395.371,00;150.961
WINFUT;26/12/2023;14:15:00;135.455;135.500;135.370;135.395;5.400.254.866,00;199.361
WINFUT;26/12/2023;14:00:00;135.375;135.480;135.340;135.455;4.941.729.880,00;182.478
WINFUT;26/12/2023;13:45:00;135.335;135.380;135.325;135.380;2.088.650.802,00;77.158
WINFUT;26/12/2023;13:30:00;135.340;135.370;135.275;135.340;3.725.926.764,00;137.663
WINFUT;26/12/2023;13:15:00;135.385;135.390;135.305;135.340;3.207.650.645,00;118.506
WINFUT;26/12/2023;13:00:00;135.345;135.400;135.320;135.390;2.592.763.841,00;95.776
WINFUT;26/12/2023;12:45:00;135.380;135.390;135.315;135.350;3.273.084.353,00;120.915
WINFUT;26/12/2023;12:30:00;135.325;135.420;135.320;135.380;4.728.868.908,00;174.665
WINFUT;26/12/2023;12:15:00;135.375;135.460;135.295;135.330;6.878.997.510,00;254.086
WINFUT;26/12/2023;12:00:00;135.240;135.395;135.205;135.370;8.581.358.729,00;317.055
WINFUT;26/12/2023;11:45:00;135.105;135.265;134.965;135.245;11.129.801.642,00;411.900
WINFUT;26/12/2023;11:30:00;135.060;135.210;134.950;135.105;12.986.663.286,00;480.706
WINFUT;26/12/2023;11:15:00;135.080;135.165;135.030;135.055;6.575.985.865,00;243.407
WINFUT;26/12/2023;11:00:00;135.240;135.255;135.045;135.080;7.554.197.347,00;279.540
WINFUT;26/12/2023;10:45:00;135.035;135.320;135.035;135.235;9.489.151.370,00;350.981
WINFUT;26/12/2023;10:30:00;135.190;135.240;135.000;135.040;7.747.399.696,00;286.731
WINFUT;26/12/2023;10:15:00;135.015;135.250;134.955;135.190;11.761.138.517,00;435.252
WINFUT;26/12/2023;10:00:00;134.915;135.065;134.845;135.020;9.091.403.059,00;336.854
